high,timestamp,volume,low,close,open
9600.0,2019-06-19 17:00:00,7870.31583938,9211.08,9534.99,9280.17
10229.49,2019-06-20 17:00:00,12553.09963424,9534.97,10222.12,9534.99
11200.0,2019-06-21 17:00:00,13709.30032222,10085.5,10661.3,10222.13
11247.62,2019-06-22 17:00:00,7270.645811599999,10483.33,10831.95,10665.66
11099.0,2019-06-23 17:00:00,8247.39381098,10551.51,11029.63,10827.23
11796.37,2019-06-24 17:00:00,12133.57175867,11000.02,11751.01,11030.0
13880.0,2019-06-25 17:00:00,37487.80242579,11647.07,12920.54,11760.0
13355.61,2019-06-26 17:00:00,36106.96055323,10300.0,11153.74,12927.44
12447.46,2019-06-27 17:00:00,18718.10158772,10739.1,12354.43,11153.73
12386.76,2019-06-28 17:00:00,12265.99736052,11317.03,11858.62,12354.45
12200.06,2019-06-29 17:00:00,12642.61772277,10651.3,10760.1,11867.35
11200.41,2019-06-30 17:00:00,22917.43710404,9950.0,10577.43,10759.24
10942.63,2019-07-01 17:00:00,20285.24655295,9614.08,10828.9,10581.78
12009.0,2019-07-02 17:00:00,19389.85475767,10830.1,11967.43,10830.1
12061.04,2019-07-03 17:00:00,11185.29420376,11052.74,11146.34,11970.0
11440.0,2019-07-04 17:00:00,11893.4379497,10769.15,10997.84,11144.82
11735.0,2019-07-05 17:00:00,7892.17866812,10982.89,11240.0,10996.82
11627.0,2019-07-06 17:00:00,6683.05546715,11083.76,11469.96,11233.21
12398.0,2019-07-07 17:00:00,11901.90089462,11332.19,12286.14,11478.43
12883.48,2019-07-08 17:00:00,15115.552383899998,12030.43,12567.23,12299.94
13200.0,2019-07-09 17:00:00,19838.38994897,11550.0,12098.95,12574.88
12104.97,2019-07-10 17:00:00,18468.68600043,10966.81,11349.24,12101.44
11942.39,2019-07-11 17:00:00,9176.67942993,11083.52,11808.91,11352.74
11846.61,2019-07-12 17:00:00,9391.35341435,10810.0,11378.79,11811.08
11467.3,2019-07-13 17:00:00,12170.40823763,10090.0,10191.87,11382.03
11080.37,2019-07-14 17:00:00,16048.02718406,9855.0,10850.0,10191.87
11042.11,2019-07-15 17:00:00,20761.02748001,9366.0,9412.81,10848.27
9993.0,2019-07-16 17:00:00,16992.78525932,9049.54,9699.35,9427.45
10797.0,2019-07-17 17:00:00,18289.54217585,9280.33,10648.6,9712.15
10776.99,2019-07-18 17:00:00,13787.45646718,10102.58,10535.43,10638.44
11120.0,2019-07-19 17:00:00,9964.67388282,10359.17,10750.11,10533.71
10839.09,2019-07-20 17:00:00,5628.16176664,10325.0,10600.24,10757.15
10686.89,2019-07-21 17:00:00,9371.30644231,10052.25,10328.83,10605.03
10327.33,2019-07-22 17:00:00,9040.84882621,9801.88,9847.02,10315.87
9911.5,2019-07-23 17:00:00,9433.34520017,9514.96,9763.67,9841.42
10187.0,2019-07-24 17:00:00,6377.95751785,9734.19,9883.96,9781.52
9897.46,2019-07-25 17:00:00,5570.10914746,9650.0,9846.94,9886.08
10235.0,2019-07-26 17:00:00,9614.10207519,9299.0,9481.37,9846.94
9634.5,2019-07-27 17:00:00,3860.8348169,9111.0,9533.19,9467.84
9725.17,2019-07-28 17:00:00,5068.6543093,9360.0,9495.39,9538.73
9775.0,2019-07-29 17:00:00,5533.97118529,9373.48,9593.62,9508.21
10143.2,2019-07-30 17:00:00,7917.5084772,9574.09,10085.34,9592.26
10499.0,2019-07-31 17:00:00,7681.73235986,9878.09,10407.71,10096.01
10670.0,2019-08-01 17:00:00,9286.86172741,10318.47,10529.51,10416.79
10919.0,2019-08-02 17:00:00,6996.11722818,10502.8,10821.52,10529.51
11085.99,2019-08-03 17:00:00,7556.32923024,10564.96,10986.96,10812.58
11959.36,2019-08-04 17:00:00,17260.45577332,10986.55,11800.0,10986.55
12325.0,2019-08-05 17:00:00,16420.57916354,11200.0,11470.0,11800.0
12145.42,2019-08-06 17:00:00,15480.45524249,11388.01,11971.57,11471.58
12061.1,2019-08-07 17:00:00,10144.46210884,11450.93,11983.43,11973.46
12040.0,2019-08-08 17:00:00,7336.91484905,11650.0,11859.32,11985.6
11976.68,2019-08-09 17:00:00,7447.24834124,11200.0,11273.2,11859.32
11589.73,2019-08-10 17:00:00,4361.39069182,11080.37,11528.73,11273.03
11551.57,2019-08-11 17:00:00,3417.70935664,11194.04,11385.11,11527.44
11446.94,2019-08-12 17:00:00,9003.17888634,10738.58,10862.28,11380.61
10862.25,2019-08-13 17:00:00,12678.9411947,9888.57,10022.99,10862.25
10444.66,2019-08-14 17:00:00,15083.17326332,9467.57,10301.44,10022.5
10540.0,2019-08-15 17:00:00,11080.39966131,9736.96,10354.34,10294.9
10472.93,2019-08-16 17:00:00,3907.52839849,9974.51,10210.89,10351.18
10515.0,2019-08-17 17:00:00,3398.41986671,10065.41,10318.99,10221.94
10940.0,2019-08-18 17:00:00,8044.02134828,10267.56,10927.3,10318.99
10955.48,2019-08-19 17:00:00,5883.59995275,10549.74,10772.22,10927.3
10807.54,2019-08-20 17:00:00,9812.62171129,9853.45,10134.75,10778.75
10238.29,2019-08-21 17:00:00,6710.30664788,9755.53,10112.01,10123.56
10479.0,2019-08-22 17:00:00,5557.29144342,10051.0,10401.6,10112.45
10432.0,2019-08-23 17:00:00,5106.55673687,9885.48,10149.7,10401.87
10355.89,2019-08-24 17:00:00,3953.39528117,9907.86,10136.75,10149.38
10650.0,2019-08-25 17:00:00,7166.67534085,10136.75,10360.97,10136.75
10375.53,2019-08-26 17:00:00,4781.3350218000005,10019.1,10167.29,10355.11
10280.71,2019-08-27 17:00:00,9303.15591906,9555.0,9711.78,10171.39
9720.2,2019-08-28 17:00:00,7717.10637568,9320.0,9490.0,9720.2
9700.0,2019-08-29 17:00:00,5317.309700100001,9350.1,9579.75,9490.56
9682.73,2019-08-30 17:00:00,1572.15542709,9443.19,9594.15,9569.3
9832.0,2019-08-31 17:00:00,1799.36720121,9538.75,9767.53,9593.5
10471.0,2019-09-01 17:00:00,6144.79883515,9753.24,10384.48,9767.56
10783.0,2019-09-02 17:00:00,11443.53849727,10286.0,10617.61,10384.07
10834.15,2019-09-03 17:00:00,10088.7236301,10378.7,10586.26,10617.72
10664.13,2019-09-04 17:00:00,4555.62463429,10461.97,10573.66,10586.26
10949.0,2019-09-05 17:00:00,10701.50994422,10204.18,10311.09,10573.04
10580.0,2019-09-06 17:00:00,3148.50895336,10297.58,10484.39,10309.04
10594.88,2019-09-07 17:00:00,3130.86103548,10229.49,10400.18,10497.57
10542.93,2019-09-08 17:00:00,6059.76274364,10060.0,10307.45,10387.33
10390.09,2019-09-09 17:00:00,4658.92141056,9910.0,10096.0,10317.62
10243.01,2019-09-10 17:00:00,4614.34849343,9855.11,10154.46,10093.39
10465.0,2019-09-11 17:00:00,4719.04668642,10027.52,10420.34,10163.81
10458.13,2019-09-12 17:00:00,3755.41742244,10153.87,10368.65,10423.99
10441.47,2019-09-13 17:00:00,2656.15453049,10217.01,10355.37,10365.81
10383.2,2019-09-14 17:00:00,2297.72276878,10258.49,10305.74,10362.52
10378.07,2019-09-15 17:00:00,5496.03749388,10060.95,10269.98,10320.36
10280.53,2019-09-16 17:00:00,5078.59865576,10130.59,10195.73,10257.2
10263.65,2019-09-17 17:00:00,3952.00683587,10080.0,10152.09,10182.96
10380.07,2019-09-18 17:00:00,7455.91141166,9600.0,10271.53,10161.59
10308.04,2019-09-19 17:00:00,4463.38202069,10055.0,10169.02,10284.72
10180.43,2019-09-20 17:00:00,4148.89981496,9913.35,9985.28,10169.02
10093.24,2019-09-21 17:00:00,3213.9540957,9842.35,10020.58,9973.0
10048.06,2019-09-22 17:00:00,5447.96313246,9606.0,9682.19,10022.38
9782.0,2019-09-23 17:00:00,28154.41355726,7998.0,8536.82,9685.69
8746.83,2019-09-24 17:00:00,17435.8678913,8216.0,8432.16,8536.71
8467.89,2019-09-25 17:00:00,16662.32021152,7733.99,8055.03,8443.44
8294.04,2019-09-26 17:00:00,10165.85293694,7866.0,8187.72,8055.25
8356.4,2019-09-27 17:00:00,6315.48953894,8009.84,8218.07,8199.96
8244.07,2019-09-28 17:00:00,5366.5707177,7902.66,8047.6,8218.07
8368.5,2019-09-29 17:00:00,9518.99210777,7714.7,8298.45,8060.13
8531.25,2019-09-30 17:00:00,10224.59198253,8195.42,8319.01,8304.47
8393.39,2019-10-01 17:00:00,4952.534115199999,8170.91,8373.42,8326.41
8419.23,2019-10-02 17:00:00,8701.12039607,8029.14,8239.92,8377.68
8244.93,2019-10-03 17:00:00,6278.78141904,7986.65,8152.07,8243.39
