"filename","sheetname","clusters","max_refs","avg_refs","min_refs","formulas","ratio"
"andy_zipper_000_1_1.pst.144.xls","DD-EGL",7,9985,12.3875083948959033,1,2978,425.4285714285714286
"andy_zipper_000_1_1.pst.144.xls","DD-ENA",6,9977,36.8465679676985195,1,2972,495.3333333333333333
"andy_zipper_000_1_1.pst.144.xls","DD-EPM",9,9965,7.8861325742171614,1,4918,546.4444444444444444
"andy_zipper_000_1_1.pst.144.xls","TRANSACTIONSUMMARYREPORT -1",9,19985,27.2251400560224090,1,119952,13328.000000000000
"andy_zipper_000_1_1.pst.146.xls","DD-EGL",7,9985,12.3875083948959033,1,2978,425.4285714285714286
"andy_zipper_000_1_1.pst.146.xls","DD-ENA",6,9991,47.0242751180040459,1,2966,494.3333333333333333
"andy_zipper_000_1_1.pst.146.xls","DD-EPM",9,19985,11.9609597397315982,1,4918,546.4444444444444444
"andy_zipper_000_1_1.pst.146.xls","TRANSACTIONSUMMARYREPORT -1",9,19985,27.2251400560224090,1,119952,13328.000000000000
"andy_zipper_000_1_1.pst.156.xls","FINANCIAL",4,8,1.6036585365853659,1,328,82.0000000000000000
"andy_zipper_000_1_1.pst.156.xls","PHYSICAL",4,8,1.6369863013698630,1,292,73.0000000000000000
"andy_zipper_000_1_1.pst.156.xls","PHYSICAL & FINANCIAL",4,8,1.6073619631901840,1,326,81.5000000000000000
"andy_zipper_000_1_1.pst.159.xls","Deal Detail",1,1,1.00000000000000000000,1,190,190.0000000000000000
"andy_zipper_000_1_1.pst.159.xls","Failed Transaction Detail",1,1,1.00000000000000000000,1,184,184.0000000000000000
"andy_zipper_000_1_1.pst.16.xls","DD-EGL",7,9985,12.3875083948959033,1,2978,425.4285714285714286
"andy_zipper_000_1_1.pst.16.xls","DD-ENA",6,9991,47.0242751180040459,1,2966,494.3333333333333333
"andy_zipper_000_1_1.pst.16.xls","DD-EPM",9,19985,11.9609597397315982,1,4918,546.4444444444444444
"andy_zipper_000_1_1.pst.16.xls","TRANSACTIONSUMMARYREPORT -1",9,19985,27.2251400560224090,1,119952,13328.000000000000
"andy_zipper_000_1_1.pst.160.xls","Deal Detail",1,1,1.00000000000000000000,1,190,190.0000000000000000
"andy_zipper_000_1_1.pst.160.xls","Failed Transaction Detail",1,1,1.00000000000000000000,1,184,184.0000000000000000
"andy_zipper_000_1_1.pst.161.xls","Deal Detail",1,1,1.00000000000000000000,1,226,226.0000000000000000
"andy_zipper_000_1_1.pst.161.xls","Failed Transaction Detail",1,1,1.00000000000000000000,1,184,184.0000000000000000
"andy_zipper_000_1_1.pst.162.xls","Deal Detail",1,1,1.00000000000000000000,1,288,288.0000000000000000
"andy_zipper_000_1_1.pst.162.xls","Failed Transaction Detail",1,1,1.00000000000000000000,1,184,184.0000000000000000
"andy_zipper_000_1_1.pst.163.xls","Deal Detail",1,1,1.00000000000000000000,1,330,330.0000000000000000
"andy_zipper_000_1_1.pst.163.xls","Failed Transaction Detail",1,1,1.00000000000000000000,1,184,184.0000000000000000
"andy_zipper_000_1_1.pst.164.xls","Deal Detail",1,1,1.00000000000000000000,1,620,620.0000000000000000
"andy_zipper_000_1_1.pst.164.xls","Failed Transaction Detail",1,1,1.00000000000000000000,1,184,184.0000000000000000
"andy_zipper_000_1_1.pst.165.xls","Deal Detail",4,36,12.7500000000000000,1,3344,836.0000000000000000
"andy_zipper_000_1_1.pst.165.xls","Failed Transaction Detail",1,1,1.00000000000000000000,1,240,240.0000000000000000
"andy_zipper_000_1_1.pst.166.xls","Daily Deals Data",1,9953,646.2672413793103448,483,232,232.0000000000000000
"andy_zipper_000_1_1.pst.166.xls","Deal Detail",4,41,14.0000000000000000,1,4776,1194.0000000000000000
"andy_zipper_000_1_1.pst.166.xls","Failed Transaction Detail",1,1,1.00000000000000000000,1,892,892.0000000000000000
"andy_zipper_000_1_1.pst.167.xls","Daily Deals Data",1,9953,9882.0223817567567568,483,9472,9472.0000000000000000
"andy_zipper_000_1_1.pst.167.xls","Deal Detail",4,41,14.0000000000000000,1,5112,1278.0000000000000000
"andy_zipper_000_1_1.pst.167.xls","Failed Transaction Detail",1,1,1.00000000000000000000,1,892,892.0000000000000000
"andy_zipper_000_1_1.pst.168.xls","Daily Deals Data",1,9953,9882.0223817567567568,483,9472,9472.0000000000000000
"andy_zipper_000_1_1.pst.168.xls","Deal Detail",4,41,14.0000000000000000,1,5392,1348.0000000000000000
